ticker,fiscal_year,net_sales,total_assets,selling_expenses,general_admin_expenses,intangible_assets_net,manufacturing_overhead,net_operating_income,raw_material_consumption,merchandise_purchase_year,wip_goods_purchase,outside_manufacturing_expenses,production_cost,rnd_expenses,net_income,total_equity,total_liabilities,cash_and_equivalents,long_term_debt,current_assets,current_liabilities,growth_ratio,inventory,net_ppe,shares_outstanding,market_value_equity,dividend_cash_paid,eps_basic,managerial_inside_own,state_own,institutional_own,foreign_own,employees_count,firm_age,product_innovation,process_innovation,net_cfo,capex,net_cfi
LHC,2020,866888005671.0,733550458879.0,2338852150.0,76523434172.0,27810055496.0,,164647948989.0,342502720909.0,,19233135418.0,199846019735.0,761881277447.0,0.0,90687996238.0,474778384192.0,258772074687.0,148330806947.0,0.0,397423318912.0,253563478953.0,0.14,68971122954.0,303644763492.0,7200000,385200000000.0,-29934332793.0,8.476,0.18,0.0,0.06,0.22,58.0,20,0,0,153950482649.0,-90687451816.0,-87078909966.0
LHC,2021,1054939540593.0,910909405950.0,2664174044.0,100353310091.0,40114754346.0,,175568847097.0,529841246018.0,,29594296412.0,150948718131.0,969965317169.0,0.0,89264822936.0,518801313250.0,392108092700.0,191330991296.0,15050000000.0,503504504319.0,375254012378.0,0.22,96339827518.0,328751209916.0,7200000,763200000000.0,-43204910000.0,8.216,0.18,0.0,0.06,0.22,55.0,21,0,1,-151841206235.0,-129883075971.0,-191033722994.0
LHC,2022,1416508809812.0,1030890000000.0,3342499860.0,131481655768.0,23069091474.0,,223279907336.0,729665205113.0,,30916462096.0,208782654514.0,1288045687415.0,0.0,116800486967.0,612643000000.0,418247000000.0,174393942334.0,39000000000.0,558019000000.0,412851000000.0,0.34,143268646485.0,333819244946.0,14400000,804960000000.0,-49334201200.0,8.46,0.18,0.0,0.03,0.18,57.0,22,0,1,11807839963.0,-136247323417.0,-128420150444.0
LHC,2023,1119271133177.0,1098510172732.0,3162427454.0,119001622748.0,17003142584.0,,239387662114.0,471190638957.0,,30916462096.0,161010360301.0,957846612202.0,0.0,126274753220.0,689583537450.0,408926635282.0,197316312274.0,39000000000.0,660825539644.0,364538000000.0,-0.21,141717841616.0,333819244946.0,14400000,757440000000.0,-49334201200.0,5.651,0.18,0.0,0.03,0.18,56.0,23,0,1,209120175161.0,-194064534289.0,-180348008085.0
LHC,2024,1204783581903.0,1196612481770.0,4950872868.0,95468972672.0,17003142584.0,,203084552401.0,522617775745.0,,43503111859.0,252363693534.0,1079957867474.0,0.0,116936293805.0,746193716730.0,450418765040.0,273024811700.0,32259000000.0,607500864584.0,418160000000.0,0.08,143920667536.0,355304531029.0,14400000,1039680000000.0,-60746098000.0,4.65,0.18,0.0,0.03,0.15,52.0,24,0,1,309009352682.0,-276401832883.0,-218998465885.0
MCP,2020,688442932490.0,373143857569.0,14997232723.0,21909339354.0,0.0,81875654651.0,50907421546.0,177583789343.0,353427196511.0,2988379350.0,7670984321.0,315241363574.0,0.0,19297162849.0,214413528340.0,158730329229.0,54845957638.0,0.0,319600037322.0,158730329229.0,1.54,110924512738.0,49418106515.0,15052615,262246658530.0,-12052892400.0,1282.0,0.0,0.0,0.0,0.0019,268.0,21,0,1,-4418740823.0,-969460419.0,-24156556317.0
MCP,2021,431297784157.0,333795940264.0,16349108730.0,17991810988.0,0.0,84563235927.0,46961106198.0,219085284453.0,47187124683.0,1066218087.0,11261380455.0,358638271783.0,0.0,22591406095.0,222992693281.0,110803246983.0,24525781740.0,0.0,244557378946.0,110803246983.0,-0.37,110453264874.0,35675156173.0,15052615,321298067175.0,-11220827498.0,1501.0,0.25,0.0,0.0,0.0019,280.0,22,0,1,-657431221.0,-751496363.0,20190071026.0
MCP,2022,514599490418.0,311411429487.0,16749049400.0,16639190044.0,0.0,42923766378.0,28972143860.0,401405764350.0,40770689726.0,4603300441.0,24048382233.0,500322865351.0,0.0,11279300476.0,232029390939.0,79382038548.0,5267205138.0,0.0,222154848703.0,79382038548.0,0.19,120300343167.0,34627488746.0,15052615,180375485545.0,-35191831805.0,749.0,0.25,0.0,0.0,0.0017,285.0,23,1,1,17513963090.0,-10170446172.0,-1580707887.0
MCP,2023,492833545275.0,319084683757.0,15480648691.0,19997912550.0,0.0,43864353143.0,34529010629.0,367349415828.0,3706106682.0,0.0,24561830552.0,469503449279.0,0.0,17441963130.0,248343424021.0,70741259736.0,11160504865.0,0.0,237818943441.0,70741259736.0,-0.04,109825325972.0,24732426977.0,15052615,422195745520.0,-1696591778.0,1159.0,0.14,0.0,0.25,0.0016,272.0,24,0,1,34520529155.0,-1995705031.0,-26932162850.0
MCP,2024,466605824421.0,317695500958.0,14568304136.0,21906341605.0,0.0,43645795124.0,48520328939.0,305367341173.0,38841230994.0,0.0,23403335536.0,401411084353.0,0.0,30114049356.0,276713277064.0,40982223894.0,16906377798.0,0.0,294219098541.0,40982223894.0,-0.05,61637465146.0,17047423327.0,18062331,507966934713.0,-28159074914.0,1667.0,0.18,0.0,0.59,0.0,264.0,25,0,1,93445808277.0,-1569840160.0,-59540860430.0
